"Country.of.Origin","Number.of.Bags","Bag.Weight","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Cupper.Points","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Category.Two.Defects"
"Brazil",7,"60 kg","Semi-washed / Semi-pulped",8.33,8,8,8,7.75,8,10,10,10,8,86.08,0.11,0,0,2
"Uganda",1,"60 kg","Semi-washed / Semi-pulped",8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,86,0,0,0,0
"Colombia",1,"2 kg","Washed / Wet",7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86,0.12,1,0,1
"Kenya",1,"1 kg","Washed / Wet",7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86,0.11,0,0,1
"Uganda",1,"60 kg","Washed / Wet",8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86,0.1,0,0,0
"Guatemala",80,"69 kg","Washed / Wet",7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85.92,0.1,0,1,3
"Uganda",1,"60 kg","Natural / Dry",8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85.92,0.12,0,0,0
"Colombia",275,"70 kg","Washed / Wet",8,8,8,8.17,7.83,8,10,10,10,7.92,85.92,0,1,0,0
"Panama",37,"60 kg","Washed / Wet",8,8,7.92,8.08,7.83,8,10,10,10,8,85.83,0.08,0,1,0
"Ethiopia",320,"60 kg","Washed / Wet",7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83,0.1,0,0,4
"Guatemala",150,"1 kg","Washed / Wet",7.83,8,8,8.17,7.83,8,10,10,10,8,85.83,0.12,0,0,3
"Guatemala",275,"1 kg","Washed / Wet",8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83,0.1,0,0,1
"Ethiopia",320,"19200 kg","Natural / Dry",7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75,0.09,0,4,7
"Peru",280,"5 lbs","Washed / Wet",8,8,8,8.08,7.92,7.75,10,10,10,8,85.75,0.1,4,0,6
"Papua New Guinea",7,"60 kg","Washed / Wet",8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75,0.12,0,0,1
"El Salvador",275,"2 kg","Washed / Wet",7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58,0.1,0,0,3
"El Salvador",19,"1 kg","Semi-washed / Semi-pulped",7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58,0.11,0,0,0
"United States (Hawaii)",8,"100 lbs","Natural / Dry",7.83,8,7.92,7.75,8.08,8,10,10,10,8,85.58,0,0,0,1
"Panama",100,"60 kg","Natural / Dry",8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5,0.09,2,0,2
"Kenya",16,"60 kg","Natural / Dry",7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5,0.1,0,0,3
"Ethiopia",320,"60 kg","Natural / Dry",7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5,0.12,0,0,7
"Uganda",320,"60 kg","Washed / Wet",8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5,0.12,0,0,1
"Guatemala",250,"69 kg","Washed / Wet",8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5,0.11,0,0,1
"Ethiopia",320,"60 kg","Washed / Wet",7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42,0.1,0,0,18
"Uganda",150,"60 kg","Washed / Wet",8.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42,0.12,0,0,5
"United States (Hawaii)",8,"100 lbs","Natural / Dry",7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42,0,4,0,6
"Brazil",5,"60 kg","Semi-washed / Semi-pulped",8,8,8,7.67,7.75,8,10,10,10,8,85.42,0.11,0,0,1
"China",3,"60 kg","Natural / Dry",8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,0.1,0,0,0
"Guatemala",36,"30 kg","Natural / Dry",7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33,0.11,0,0,1
"Costa Rica",250,"3 lbs","Washed / Wet",7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33,0,0,0,0
"Costa Rica",250,"3 lbs","Washed / Wet",8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33,0.1,0,0,2
"Kenya",20,"60 kg","Washed / Wet",7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85.33,0,0,0,2
"Kenya",300,"60 kg","Washed / Wet",8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85.33,0,0,0,6
"Colombia",275,"70 kg","Washed / Wet",8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25,0.11,0,0,0
"Colombia",250,"70 kg","Natural / Dry",7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25,0.12,0,0,2
"Indonesia",54,"60 kg","Semi-washed / Semi-pulped",7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,85.17,0.11,0,0,3
"Guatemala",250,"1 kg","Washed / Wet",8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17,0,0,0,7
"Ethiopia",320,"19200 kg","Natural / Dry",7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08,0.11,0,1,8
"Colombia",250,"70 kg","Natural / Dry",8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,85.08,0,0,0,0
"Ethiopia",100,"60 kg","Natural / Dry",8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,85.08,0.1,2,0,7
"United States (Hawaii)",12,"100 lbs","Natural / Dry",7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,85.08,0.11,2,0,2
"Colombia",250,"70 kg","Natural / Dry",7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,85.08,0.11,0,0,8
"Uganda",200,"60 kg","Washed / Wet",8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,85,0.11,0,0,1
"Colombia",135,"70 kg","Washed / Wet",8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,85,0,0,0,3
"Costa Rica",36,"46 kg","Washed / Wet",7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,85,0.12,1,1,1
"Mexico",1,"30 kg","Washed / Wet",7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,85,0.09,0,0,3
"Kenya",170,"60 kg","Washed / Wet",8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,85,0.11,0,5,7
"Kenya",38,"60 kg","Washed / Wet",7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,85,0,0,0,5
"Brazil",31,"60 kg","Natural / Dry",8,8,7.83,7.83,7.67,7.67,10,10,10,8,85,0.12,0,0,3
"Colombia",243,"70 kg","Washed / Wet",7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,84.92,0,1,6,2
"Colombia",252,"70 kg","Washed / Wet",7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,84.92,0.12,0,0,1
"Taiwan",20,"40 kg","Semi-washed / Semi-pulped",7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,84.92,0.11,0,0,0
"Tanzania, United Republic Of",134,"60 kg","Washed / Wet",8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,84.92,0.12,0,0,2
"Colombia",50,"70 kg","Washed / Wet",7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,84.92,0.11,0,0,3
"Mexico",25,"1 kg","Semi-washed / Semi-pulped",7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,84.92,0.11,0,0,0
"Brazil",4,"60 kg","Natural / Dry",8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92,0.11,0,0,2
"Brazil",10,"60 kg","Natural / Dry",8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92,0.12,0,0,2
"Taiwan",10,"20 kg","Natural / Dry",7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,84.83,0,0,0,0
"Uganda",1,"60 kg","Natural / Dry",7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,84.83,0.12,0,0,1
"United States (Hawaii)",14,"100 lbs","Natural / Dry",7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,84.83,0,3,0,15
"Thailand",50,"50 kg","Pulped natural / honey",7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,84.75,0.12,0,0,0
"Kenya",150,"60 kg","Washed / Wet",7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,84.75,0.13,0,0,0
"Honduras",275,"1 kg","Washed / Wet",7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,84.75,0.11,0,0,4
"El Salvador",150,"69 kg","Washed / Wet",7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,84.67,0,0,0,2
"Indonesia",2,"1 kg","Washed / Wet",7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,84.67,0.12,0,0,7
"Japan",20,"1 kg","Pulped natural / honey",7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,84.67,0.12,0,0,0
"Costa Rica",15,"69 kg","Washed / Wet",8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,84.67,0.1,0,0,2
"Guatemala",120,"34 kg","Washed / Wet",7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,84.67,0.1,0,0,1
"Costa Rica",50,"1 lbs","Washed / Wet",8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,84.67,0.12,0,0,0
"Ethiopia",250,"30 kg","Washed / Wet",8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,84.67,0.1,0,0,3
"Costa Rica",20,"69 kg","Other",7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,84.67,0.08,0,0,1
"Costa Rica",275,"1 kg","Washed / Wet",8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,84.67,0.11,0,0,4
"Costa Rica",1,"2 kg","Washed / Wet",8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,84.67,0,1,0,10
"Taiwan",10,"30 kg","Washed / Wet",8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,84.67,0.11,0,0,0
"Colombia",250,"70 kg","Washed / Wet",7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,84.67,0,0,0,0
"Kenya",235,"60 kg","Washed / Wet",7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,84.67,0.11,0,0,0
"Guatemala",250,"1 kg","Washed / Wet",8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,84.67,0.11,0,0,4
"Guatemala",125,"1 kg","Washed / Wet",7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,84.67,0.12,0,0,4
"Mexico",80,"1 kg","Washed / Wet",7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92,84.67,0.13,0,0,3
"Uganda",320,"60 kg","Washed / Wet",7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,84.67,0.11,0,0,3
"Kenya",66,"60 kg","Washed / Wet",7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,7.83,84.58,0.11,0,0,5
"Colombia",250,"70 kg","Washed / Wet",7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,84.58,0,0,0,4
"Colombia",125,"70 kg","Washed / Wet",7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75,84.58,0,0,1,5
"Kenya",100,"60 kg","Washed / Wet",7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,84.58,0.1,0,0,2
"Guatemala",250,"69 kg","Washed / Wet",7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,84.58,0.11,0,0,1
"Guatemala",250,"69 kg","Washed / Wet",8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,84.58,0.09,0,0,0
"Colombia",250,"70 kg","Washed / Wet",7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,84.58,0,0,0,0
"Colombia",75,"70 kg","Washed / Wet",7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,84.58,0,0,0,5
"Kenya",11,"660 kg","Washed / Wet",7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,7.75,84.58,0,0,0,0
"Colombia",250,"70 kg","Washed / Wet",7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,84.58,0,0,0,2
"Costa Rica",1,"1 kg","Semi-washed / Semi-pulped",7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,84.58,0.12,0,0,2
"Colombia",250,"70 kg","Washed / Wet",7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,84.58,0.11,0,0,6
"Brazil",37,"60 kg","Semi-washed / Semi-pulped",8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,84.58,0.12,0,0,2
"Brazil",35,"60 kg","Semi-washed / Semi-pulped",8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,84.58,0.11,0,0,1
"Costa Rica",275,"18975 kg","Washed / Wet",7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,84.5,0.1,0,0,2
"Uganda",200,"12000 kg","Washed / Wet",7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83,84.5,0.11,0,0,1
"China",3,"60 kg","Washed / Wet",7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,84.5,0.1,0,0,1
"Costa Rica",250,"1 lbs","Washed / Wet",7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,84.5,0.11,0,0,0
"Colombia",275,"2 kg","Washed / Wet",8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,84.5,0.12,1,0,0
"China",1,"2 kg","Washed / Wet",7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,84.5,0,0,0,2
"Guatemala",250,"69 kg","Washed / Wet",8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,84.5,0.11,0,0,2
"Kenya",235,"60 kg","Washed / Wet",7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,84.5,0.11,0,0,0
"Mexico",56,"1 kg","Washed / Wet",8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,84.5,0.12,0,0,0
"Mexico",250,"1 kg","Washed / Wet",7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,7.67,84.5,0.11,0,0,4
"Guatemala",250,"69 kg","Washed / Wet",7.67,8,7.67,8,7.5,7.83,10,10,10,7.83,84.5,0.11,0,0,2
"Costa Rica",275,"69 kg","Washed / Wet",7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,84.42,0.1,0,0,3
"Indonesia",200,"30 kg","Other",7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8,84.42,0,0,0,3
"Colombia",304,"35 kg","Natural / Dry",7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67,84.42,0,0,0,1
"Colombia",275,"70 kg","Washed / Wet",7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,84.42,0,0,0,3
"Taiwan",2,"2 kg","Washed / Wet",7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75,84.42,0.11,0,0,0
"United States (Hawaii)",5,"100 lbs","Natural / Dry",7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,7.83,84.42,0.11,0,0,1
"Mexico",69,"1 kg","Washed / Wet",7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,7.83,84.42,0.12,2,0,4
"Kenya",150,"60 kg","Washed / Wet",7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,84.33,0.11,0,0,4
"Colombia",275,"70 kg","Washed / Wet",7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5,84.33,0,0,3,5
"Honduras",275,"69 kg","Washed / Wet",7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,84.33,0.11,0,1,2
"Colombia",250,"70 kg","Natural / Dry",7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,84.33,0.11,6,0,0
"Colombia",275,"70 kg","Washed / Wet",7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,84.33,0,0,0,0
"Mexico",100,"80 kg","Washed / Wet",8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,84.33,0.12,0,0,1
"Taiwan",10,"5 kg","Washed / Wet",7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,84.25,0.12,0,0,0
"Thailand",20,"25 kg","Natural / Dry",7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,84.25,0.12,0,0,0
"Colombia",275,"70 kg","Natural / Dry",7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,84.25,0.11,0,0,2
"Guatemala",230,"69 kg","Washed / Wet",7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,84.25,0.11,0,4,4
"Guatemala",275,"69 kg","Washed / Wet",7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,84.25,0.1,0,0,1
"China",3,"60 kg","Natural / Dry",7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,84.25,0.1,0,0,1
"Colombia",275,"70 kg","Washed / Wet",7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,84.25,0.11,0,0,3
"Colombia",248,"70 kg","Washed / Wet",7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,84.25,0.12,4,0,2
"Colombia",275,"2 kg","Washed / Wet",7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,84.25,0.12,0,0,0
"Colombia",250,"70 kg","Natural / Dry",7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,84.25,0.12,3,0,0
"Tanzania, United Republic Of",10,"60 kg","Washed / Wet",7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,84.25,0.12,0,0,7
"Tanzania, United Republic Of",65,"60 kg","Washed / Wet",7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,84.25,0.12,0,0,2
"Guatemala",250,"69 kg","Other",7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,84.25,0.1,0,0,1
"Colombia",250,"70 kg","Washed / Wet",7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,84.25,0.11,0,0,2
"United States (Hawaii)",7,"100 lbs","Natural / Dry",7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,7.83,84.25,0.11,1,0,1
"Mexico",10,"1 kg","Semi-washed / Semi-pulped",7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,84.25,0.12,0,0,1
"Mexico",20,"1 kg","Washed / Wet",7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,84.25,0.12,0,0,0
"Mexico",250,"1 kg","Washed / Wet",7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,84.25,0.1,0,0,4
"Uganda",1,"60 kg","Natural / Dry",8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67,84.25,0.13,4,0,29
"Guatemala",50,"69 kg","Washed / Wet",7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,84.17,0.13,0,0,1
"Colombia",250,"70 kg","Washed / Wet",7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,7.75,84.17,0,0,0,2
"Costa Rica",150,"69 kg","Washed / Wet",7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,84.17,0.09,0,0,2
"Guatemala",275,"69 kg","Washed / Wet",7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58,84.17,0.11,0,0,6
"Guatemala",377,"69 kg","Washed / Wet",7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67,84.17,0.1,0,1,10
"Guatemala",130,"69 kg","Washed / Wet",7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83,84.17,0.1,0,0,2
"Colombia",275,"70 kg","Washed / Wet",8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,84.17,0,0,0,0
"Nicaragua",275,"2 kg","Natural / Dry",7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,7.83,84.17,0.12,0,0,0
"Brazil",305,"59 kg","Natural / Dry",7.67,7.75,7.75,7.67,7.83,7.75,10,10,10,7.75,84.17,0,0,0,16
"Costa Rica",320,"69 kg","Washed / Wet",7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83,84.17,0,0,0,0
"Ethiopia",320,"60 kg","Natural / Dry",7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,7.75,84.17,0.1,0,0,5
"Tanzania, United Republic Of",10,"60 kg","Washed / Wet",7.92,7.75,7.75,7.75,7.75,7.58,10,10,10,7.67,84.17,0.13,0,0,0
"Colombia",250,"1 kg","Washed / Wet",7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,7.5,84.17,0.12,0,0,4
"Guatemala",275,"5 lbs","Washed / Wet",7.67,7.75,7.67,7.75,7.75,7.75,10,10,10,7.83,84.17,0.11,0,0,0
"Kenya",300,"18000 kg","Washed / Wet",7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,7.75,84.17,0.08,0,0,0
"Brazil",1,"2 kg","Natural / Dry",7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67,84.17,0.11,0,0,3
"Guatemala",250,"69 kg","Washed / Wet",7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,7.42,84.17,0.11,0,0,4
"El Salvador",275,"2 kg","Natural / Dry",8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92,84.17,0.11,0,0,2
"Colombia",250,"70 kg","Washed / Wet",7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,84.17,0,0,0,2
"Guatemala",275,"1 kg","Natural / Dry",7.83,7.5,7.5,8,7.83,7.83,10,10,10,7.67,84.17,0.11,0,0,2
"Uganda",320,"60 kg","Washed / Wet",7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,7.67,84.17,0.11,0,0,1
"Indonesia",2,"2 kg","Natural / Dry",7.81,7.88,7.56,7.75,7.63,7.75,10,10,10,7.75,84.13,0.12,0,0,0
"Colombia",275,"70 kg","Washed / Wet",7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,84.08,0,1,3,3
"Taiwan",10,"20 kg","Washed / Wet",7.58,7.67,7.67,7.67,7.75,7.83,10,10,10,7.92,84.08,0.1,0,0,4
"Guatemala",50,"69 kg","Washed / Wet",8,7.75,7.5,7.58,7.92,7.67,10,10,10,7.67,84.08,0.1,0,0,4
"Colombia",200,"70 kg","Washed / Wet",7.92,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,84.08,0,0,0,2
"Guatemala",1,"2 kg","Washed / Wet",7.58,7.75,7.67,8,7.75,7.67,10,10,10,7.67,84.08,0.1,0,0,10
"United States (Hawaii)",14,"100 lbs","Natural / Dry",7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,10,8,84.08,0.11,1,0,9
"Mexico",300,"1 kg","Washed / Wet",7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,7.83,84.08,0.11,1,0,10
"Ethiopia",100,"60 kg","Natural / Dry",7.92,7.92,7.83,8,7.92,7.92,10,10,8.67,7.92,84.08,0.09,0,0,15
"Costa Rica",275,"150 lbs","Washed / Wet",7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,7.67,84,0.08,1,2,13
